car_id,date,dealer_name,dealer_region,company_id,model,engine,transmission,color,body_style,price_$
C_CND_005233,2022-09-05,Ryder Truck Rental and Leasing,Middletown,CMP_003,Catera,Double Overhead Camshaft,Auto,Pale White,Hatchback,75000
C_CND_005423,2022-09-10,Tri-State Mack Inc,Scottsdale,CMP_029,5-Sep,Overhead Camshaft,Manual,Pale White,Hatchback,28001
C_CND_005765,2022-09-17,Star Enterprises Inc,Pasco,CMP_002,Ram Pickup,Double Overhead Camshaft,Auto,Pale White,Hatchback,57000
C_CND_005939,2022-09-19,Saab-Belle Dodge,Aurora,CMP_028,Voyager,Double Overhead Camshaft,Auto,Pale White,Passenger,22000
C_CND_006087,2022-09-21,Pars Auto Sales,Scottsdale,CMP_025,Continental,Overhead Camshaft,Manual,Black,Passenger,18000
C_CND_006835,2022-10-10,McKinney Dodge Chrysler Jeep,Scottsdale,CMP_023,C70,Double Overhead Camshaft,Auto,Black,Hatchback,12000
C_CND_006860,2022-10-11,Rabun Used Car Sales,Scottsdale,CMP_002,Avenger,Double Overhead Camshaft,Auto,Black,Passenger,16000
C_CND_007099,2022-10-23,Scrivener Performance Engineering,Greenville,CMP_001,Ranger,Double Overhead Camshaft,Auto,Black,Hardtop,61000
C_CND_007177,2022-10-24,Enterprise Rent A Car,Aurora,CMP_028,Breeze,Double Overhead Camshaft,Auto,Red,Hardtop,39000
C_CND_007771,2022-11-08,Scrivener Performance Engineering,Greenville,CMP_001,Focus,Overhead Camshaft,Manual,Black,Hardtop,49000
C_CND_007955,2022-11-12,U-Haul CO,Janesville,CMP_027,LS400,Overhead Camshaft,Manual,Red,Sedan,25000
C_CND_008025,2022-11-13,Capitol KIA,Greenville,CMP_002,Ram Wagon,Overhead Camshaft,Manual,Pale White,Passenger,16500
C_CND_008320,2022-11-20,Enterprise Rent A Car,Aurora,CMP_002,Caravan,Overhead Camshaft,Manual,Red,Hatchback,24001
C_CND_008628,2022-11-23,Chrysler Plymouth,Janesville,CMP_018,Passat,Double Overhead Camshaft,Auto,Red,Hatchback,13001
C_CND_008725,2022-11-26,Ryder Truck Rental and Leasing,Middletown,CMP_027,LS400,Overhead Camshaft,Manual,Red,Sedan,25001
C_CND_008815,2022-11-27,Motor Vehicle Branch Office,Austin,CMP_028,Prowler,Overhead Camshaft,Manual,Red,Hatchback,71000
C_CND_009055,2022-12-01,McKinney Dodge Chrysler Jeep,Scottsdale,CMP_027,GS400,Double Overhead Camshaft,Auto,Pale White,Hatchback,31000
C_CND_009091,2022-12-02,C & M Motors Inc,Aurora,CMP_007,Metro,Double Overhead Camshaft,Auto,Pale White,Passenger,19001
C_CND_009290,2022-12-05,Tri-State Mack Inc,Scottsdale,CMP_016,A6,Overhead Camshaft,Manual,Pale White,SUV,24000
C_CND_009565,2022-12-10,Star Enterprises Inc,Pasco,CMP_004,Tacoma,Double Overhead Camshaft,Auto,Pale White,Hardtop,53000
C_CND_009623,2022-12-11,U-Haul CO,Austin,CMP_001,Mustang,Overhead Camshaft,Manual,Pale White,Hatchback,25100
C_CND_009722,2022-12-12,Tri-State Mack Inc,Scottsdale,CMP_009,Cougar,Double Overhead Camshaft,Auto,Black,Hatchback,33000
C_CND_009871,2022-12-14,Diehl Motor CO Inc,Middletown,CMP_021,SL-Class,Overhead Camshaft,Manual,Pale White,Hardtop,26000
C_CND_009994,2022-12-17,Tri-State Mack Inc,Scottsdale,CMP_007,Prizm,Overhead Camshaft,Manual,Black,Hardtop,27000
C_CND_010340,2022-12-25,Tri-State Mack Inc,Scottsdale,CMP_005,Integra,Double Overhead Camshaft,Auto,Black,Passenger,45001
C_CND_010669,2023-01-03,Rabun Used Car Sales,Scottsdale,CMP_006,Mirage,Double Overhead Camshaft,Auto,Black,SUV,9001
C_CND_010687,2023-01-04,Pars Auto Sales,Greenville,CMP_020,SC,Double Overhead Camshaft,Auto,Black,Hatchback,33000
C_CND_010874,2023-01-17,Saab-Belle Dodge,Aurora,CMP_027,GS300,Overhead Camshaft,Manual,Black,Passenger,51000
C_CND_010938,2023-01-22,Chrysler Plymouth,Janesville,CMP_010,328i,Double Overhead Camshaft,Auto,Black,Sedan,41000
C_CND_011281,2023-02-08,Buddy Storbeck's Diesel Service Inc,Middletown,CMP_016,A6,Overhead Camshaft,Manual,Black,SUV,25000
C_CND_011325,2023-02-14,Progressive Shippers Cooperative Association No,Janesville,CMP_011,Concorde,Double Overhead Camshaft,Auto,Black,Hardtop,12000
C_CND_011477,2023-02-21,Race Car Help,Janesville,CMP_021,S-Class,Overhead Camshaft,Manual,Black,SUV,85001
C_CND_011728,2023-03-08,Gartner Buick Hyundai Saab,Greenville,CMP_028,Breeze,Overhead Camshaft,Manual,Pale White,Hardtop,16000
C_CND_012066,2023-03-15,Diehl Motor CO Inc,Middletown,CMP_013,Accent,Overhead Camshaft,Manual,Black,Hatchback,18000
C_CND_012398,2023-04-01,Scrivener Performance Engineering,Greenville,CMP_019,Park Avenue,Double Overhead Camshaft,Auto,Pale White,Hatchback,62001
C_CND_012679,2023-04-10,Scrivener Performance Engineering,Greenville,CMP_018,Jetta,Double Overhead Camshaft,Auto,Black,Passenger,22000
C_CND_012772,2023-04-14,Iceberg Rentals,Janesville,CMP_006,Montero,Overhead Camshaft,Manual,Black,SUV,16000
C_CND_013039,2023-04-21,Tri-State Mack Inc,Austin,CMP_027,RX300,Overhead Camshaft,Manual,Black,Hardtop,18001
C_CND_013394,2023-05-05,C & M Motors Inc,Aurora,CMP_027,LX470,Overhead Camshaft,Manual,Pale White,SUV,54000
C_CND_013395,2023-05-05,Capitol KIA,Greenville,CMP_006,Diamante,Overhead Camshaft,Manual,Black,Hatchback,49000
C_CND_013519,2023-05-08,C & M Motors Inc,Janesville,CMP_007,Prizm,Overhead Camshaft,Manual,Red,Hardtop,21200
C_CND_013550,2023-05-09,McKinney Dodge Chrysler Jeep,Scottsdale,CMP_008,Pathfinder,Overhead Camshaft,Manual,Red,Hardtop,11000
C_CND_013960,2023-05-23,Capitol KIA,Greenville,CMP_004,4Runner,Overhead Camshaft,Manual,Black,Sedan,25000
C_CND_014009,2023-05-25,Ryder Truck Rental and Leasing,Scottsdale,CMP_021,SLK,Double Overhead Camshaft,Auto,Pale White,Passenger,36001
C_CND_014593,2023-06-07,Ryder Truck Rental and Leasing,Scottsdale,CMP_025,Navigator,Double Overhead Camshaft,Auto,Black,Sedan,19501
C_CND_014734,2023-06-12,C & M Motors Inc,Aurora,CMP_021,S-Class,Overhead Camshaft,Manual,Pale White,SUV,21000
C_CND_014764,2023-06-12,Iceberg Rentals,Janesville,CMP_020,SC,Double Overhead Camshaft,Auto,Black,Hardtop,33000
C_CND_014826,2023-06-14,Scrivener Performance Engineering,Greenville,CMP_013,Sonata,Overhead Camshaft,Manual,Pale White,SUV,21001
C_CND_015113,2023-06-21,Saab-Belle Dodge,Aurora,CMP_004,Tacoma,Overhead Camshaft,Manual,Pale White,Hardtop,24001
C_CND_015427,2023-07-01,Ryder Truck Rental and Leasing,Janesville,CMP_001,Crown Victoria,Overhead Camshaft,Manual,Pale White,Passenger,20000
C_CND_015794,2023-07-15,Capitol KIA,Greenville,CMP_020,LS,Double Overhead Camshaft,Auto,Pale White,Sedan,51000
C_CND_016334,2023-07-28,Tri-State Mack Inc,Scottsdale,CMP_025,Continental,Overhead Camshaft,Manual,Black,Passenger,18000
C_CND_016448,2023-08-02,Rabun Used Car Sales,Austin,CMP_023,S70,Double Overhead Camshaft,Auto,Pale White,SUV,32000
C_CND_016456,2023-08-03,Race Car Help,Austin,CMP_004,Land Cruiser,Double Overhead Camshaft,Auto,Pale White,SUV,12000
C_CND_016794,2023-08-16,Tri-State Mack Inc,Middletown,CMP_021,E-Class,Double Overhead Camshaft,Auto,Red,Sedan,15000
C_CND_017242,2023-08-29,Saab-Belle Dodge,Aurora,CMP_008,Frontier,Double Overhead Camshaft,Auto,Pale White,Hatchback,26500
C_CND_017287,2023-08-30,Gartner Buick Hyundai Saab,Greenville,CMP_011,Concorde,Double Overhead Camshaft,Auto,Pale White,SUV,42001
C_CND_017381,2023-09-01,C & M Motors Inc,Aurora,CMP_029,3-Sep,Double Overhead Camshaft,Auto,Black,Sedan,23000
C_CND_017399,2023-09-01,Tri-State Mack Inc,Janesville,CMP_020,SW,Double Overhead Camshaft,Auto,Pale White,Passenger,25501
C_CND_017422,2023-09-02,Tri-State Mack Inc,Scottsdale,CMP_014,Civic,Overhead Camshaft,Manual,Black,Hatchback,43001
C_CND_017829,2023-09-05,Tri-State Mack Inc,Scottsdale,CMP_002,Ram Pickup,Double Overhead Camshaft,Auto,Red,SUV,57000
C_CND_017956,2023-09-08,McKinney Dodge Chrysler Jeep,Scottsdale,CMP_001,Expedition,Overhead Camshaft,Manual,Red,SUV,22001
C_CND_018011,2023-09-08,Scrivener Performance Engineering,Austin,CMP_009,Sable,Overhead Camshaft,Manual,Red,Sedan,61000
C_CND_018074,2023-09-10,Buddy Storbeck's Diesel Service Inc,Middletown,CMP_007,Metro,Double Overhead Camshaft,Auto,Black,Passenger,31000
C_CND_018299,2023-09-13,Tri-State Mack Inc,Scottsdale,CMP_013,Sonata,Overhead Camshaft,Manual,Pale White,SUV,13000
C_CND_018495,2023-09-18,McKinney Dodge Chrysler Jeep,Scottsdale,CMP_024,Grand Am,Double Overhead Camshaft,Auto,Pale White,SUV,26500
C_CND_018611,2023-09-20,Race Car Help,Austin,CMP_001,Escort,Overhead Camshaft,Manual,Black,Passenger,12001
C_CND_018704,2023-09-22,Iceberg Rentals,Janesville,CMP_014,Passport,Double Overhead Camshaft,Auto,Black,SUV,26501
C_CND_018934,2023-09-25,Gartner Buick Hyundai Saab,Greenville,CMP_006,Mirage,Double Overhead Camshaft,Auto,Black,SUV,9000
C_CND_018962,2023-09-26,Ryder Truck Rental and Leasing,Middletown,CMP_006,3000GT,Double Overhead Camshaft,Auto,Red,Sedan,19000
C_CND_019185,2023-10-02,Race Car Help,Austin,CMP_004,Land Cruiser,Double Overhead Camshaft,Auto,Red,SUV,12000
C_CND_019349,2023-10-08,Saab-Belle Dodge,Aurora,CMP_002,Ram Pickup,Overhead Camshaft,Manual,Black,Hardtop,19000
C_CND_019418,2023-10-10,Rabun Used Car Sales,Greenville,CMP_002,Dakota,Overhead Camshaft,Manual,Red,Sedan,12000
C_CND_019451,2023-10-13,Saab-Belle Dodge,Aurora,CMP_004,Celica,Double Overhead Camshaft,Auto,Pale White,SUV,25201
C_CND_019903,2023-10-24,Buddy Storbeck's Diesel Service Inc,Middletown,CMP_007,Corvette,Double Overhead Camshaft,Auto,Pale White,SUV,46500
C_CND_020021,2023-10-28,Saab-Belle Dodge,Aurora,CMP_004,Celica,Overhead Camshaft,Manual,Pale White,SUV,14000
C_CND_020095,2023-10-30,Saab-Belle Dodge,Austin,CMP_021,CL500,Overhead Camshaft,Manual,Black,SUV,22500
C_CND_020618,2023-11-10,Pars Auto Sales,Greenville,CMP_002,Durango,Overhead Camshaft,Manual,Pale White,SUV,27001
C_CND_020867,2023-11-11,Iceberg Rentals,Austin,CMP_007,Lumina,Overhead Camshaft,Manual,Black,Passenger,42000
C_CND_020876,2023-11-11,Race Car Help,Aurora,CMP_001,Mustang,Overhead Camshaft,Manual,Pale White,Hatchback,43500
C_CND_020931,2023-11-12,Saab-Belle Dodge,Aurora,CMP_005,RL,Overhead Camshaft,Manual,Pale White,SUV,17000
C_CND_020969,2023-11-13,Iceberg Rentals,Janesville,CMP_021,S-Class,Overhead Camshaft,Manual,Black,SUV,18001
C_CND_021022,2023-11-13,McKinney Dodge Chrysler Jeep,Scottsdale,CMP_003,Eldorado,Overhead Camshaft,Manual,Pale White,Passenger,31000
C_CND_021068,2023-11-14,Classic Chevy,Scottsdale,CMP_003,Escalade,Overhead Camshaft,Manual,Black,Sedan,34000
C_CND_021136,2023-11-16,Chrysler Plymouth,Janesville,CMP_001,Expedition,Double Overhead Camshaft,Auto,Black,SUV,41501
C_CND_022093,2023-12-01,Tri-State Mack Inc,Middletown,CMP_002,Durango,Double Overhead Camshaft,Auto,Red,SUV,22000
C_CND_022142,2023-12-02,Nebo Chevrolet,Middletown,CMP_027,RX300,Overhead Camshaft,Manual,Black,Hardtop,18000
C_CND_022247,2023-12-03,Buddy Storbeck's Diesel Service Inc,Middletown,CMP_023,S70,Double Overhead Camshaft,Auto,Pale White,Hardtop,20000
C_CND_023510,2023-12-25,Race Car Help,Austin,CMP_021,E-Class,Double Overhead Camshaft,Auto,Pale White,Sedan,31000
C_CND_023794,2023-12-29,Ryder Truck Rental and Leasing,Austin,CMP_002,Ram Wagon,Double Overhead Camshaft,Auto,Black,Passenger,22000
C_CND_023882,2023-12-31,Star Enterprises Inc,Pasco,CMP_027,LS400,Overhead Camshaft,Manual,Black,Sedan,69001
C_CND_023895,2023-12-31,Pitre Buick-Pontiac-Gmc of Scottsdale,Scottsdale,CMP_006,Montero Sport,Double Overhead Camshaft,Auto,Red,Hardtop,39000
C_CND_001239,2022-03-26,McKinney Dodge Chrysler Jeep,Austin,CMP_007,Camaro,Double Overhead Camshaft,Auto,Red,Sedan,24000
C_CND_001252,2022-03-28,McKinney Dodge Chrysler Jeep,Scottsdale,CMP_014,Civic,Overhead Camshaft,Manual,Black,Hatchback,43000
C_CND_001300,2022-03-29,Nebo Chevrolet,Middletown,CMP_007,Corvette,Double Overhead Camshaft,Auto,Pale White,SUV,25000
C_CND_001700,2022-04-16,Ryder Truck Rental and Leasing,Middletown,CMP_023,S80,Overhead Camshaft,Manual,Red,Sedan,25000
C_CND_001710,2022-04-16,Ryder Truck Rental and Leasing,Middletown,CMP_010,323i,Double Overhead Camshaft,Auto,Black,Hatchback,9000
C_CND_002113,2022-04-30,Suburban Ford,Janesville,CMP_011,LHS,Double Overhead Camshaft,Auto,Black,Hatchback,26000
C_CND_002446,2022-05-14,Motor Vehicle Branch Office,Austin,CMP_018,Jetta,Double Overhead Camshaft,Auto,Red,Passenger,19300
C_CND_002802,2022-05-30,Rabun Used Car Sales,Greenville,CMP_007,Corvette,Overhead Camshaft,Manual,Black,SUV,26000
C_CND_003031,2022-06-09,Enterprise Rent A Car,Aurora,CMP_010,323i,Double Overhead Camshaft,Auto,Black,Hatchback,9700
C_CND_003082,2022-06-11,Suburban Ford,Janesville,CMP_008,Frontier,Overhead Camshaft,Manual,Pale White,Hatchback,20000
C_CND_003145,2022-06-12,McKinney Dodge Chrysler Jeep,Scottsdale,CMP_026,Cutlass,Double Overhead Camshaft,Auto,Red,Sedan,41000
C_CND_003274,2022-06-18,Ryder Truck Rental and Leasing,Middletown,CMP_005,TL,Double Overhead Camshaft,Auto,Red,Hatchback,24000
C_CND_003316,2022-06-18,Motor Vehicle Branch Office,Austin,CMP_018,Passat,Overhead Camshaft,Manual,Red,Hatchback,20000
C_CND_003425,2022-06-23,Tri-State Mack Inc,Austin,CMP_003,Seville,Overhead Camshaft,Manual,Black,Hatchback,44001
C_CND_003651,2022-07-03,Saab-Belle Dodge,Aurora,CMP_007,Metro,Double Overhead Camshaft,Auto,Black,Passenger,31000
C_CND_004187,2022-07-25,Rabun Used Car Sales,Janesville,CMP_014,Civic,Double Overhead Camshaft,Auto,Pale White,Hatchback,25000
C_CND_004558,2022-08-10,Race Car Help,Austin,CMP_027,LS400,Double Overhead Camshaft,Auto,Pale White,Sedan,18000
C_CND_005202,2022-09-04,Progressive Shippers Cooperative Association No,Janesville,CMP_007,Camaro,Double Overhead Camshaft,Auto,Black,Sedan,41000
C_CND_005723,2022-09-15,Clay Johnson Auto Sales,Austin,CMP_007,Prizm,Overhead Camshaft,Manual,Pale White,Hardtop,22000
C_CND_005949,2022-09-19,U-Haul CO,Austin,CMP_021,S-Class,Double Overhead Camshaft,Auto,Black,SUV,39000
C_CND_006050,2022-09-21,Pars Auto Sales,Greenville,CMP_002,Ram Pickup,Overhead Camshaft,Manual,Pale White,Hatchback,21001
C_CND_006176,2022-09-24,Chrysler of Tri-Cities,Pasco,CMP_018,Jetta,Double Overhead Camshaft,Auto,Pale White,Passenger,69001
C_CND_006192,2022-09-24,Pars Auto Sales,Greenville,CMP_018,Jetta,Double Overhead Camshaft,Auto,Pale White,Passenger,38000
C_CND_006372,2022-09-26,C & M Motors Inc,Aurora,CMP_030,Cherokee,Double Overhead Camshaft,Auto,Pale White,Sedan,36000
C_CND_006422,2022-09-26,Classic Chevy,Scottsdale,CMP_019,Century,Double Overhead Camshaft,Auto,Pale White,Hardtop,17000
C_CND_006446,2022-09-26,Capitol KIA,Janesville,CMP_004,Tacoma,Double Overhead Camshaft,Auto,Pale White,Hardtop,53000
C_CND_006577,2022-10-01,Nebo Chevrolet,Middletown,CMP_023,S40,Overhead Camshaft,Manual,Pale White,Sedan,17000
C_CND_006616,2022-10-02,Race Car Help,Austin,CMP_027,LS400,Double Overhead Camshaft,Auto,Pale White,Sedan,27000
C_CND_006879,2022-10-12,Star Enterprises Inc,Pasco,CMP_019,Century,Double Overhead Camshaft,Auto,Pale White,Hatchback,17000
C_CND_006893,2022-10-12,Star Enterprises Inc,Pasco,CMP_011,300M,Double Overhead Camshaft,Auto,Black,SUV,26000
C_CND_007053,2022-10-20,Race Car Help,Austin,CMP_003,Eldorado,Overhead Camshaft,Manual,Red,Passenger,37000
C_CND_007783,2022-11-08,Ryder Truck Rental and Leasing,Middletown,CMP_003,Seville,Overhead Camshaft,Manual,Black,Hardtop,44000
C_CND_008093,2022-11-14,Nebo Chevrolet,Middletown,CMP_001,Explorer,Double Overhead Camshaft,Auto,Pale White,Hatchback,18001
C_CND_008230,2022-11-16,Race Car Help,Aurora,CMP_028,Voyager,Overhead Camshaft,Manual,Black,Passenger,75000
C_CND_008406,2022-11-20,Motor Vehicle Branch Office,Austin,CMP_024,Sunfire,Overhead Camshaft,Manual,Red,Sedan,43000
C_CND_008658,2022-11-23,Race Car Help,Austin,CMP_004,Celica,Overhead Camshaft,Manual,Pale White,SUV,14500
C_CND_008882,2022-11-28,Saab-Belle Dodge,Aurora,CMP_001,Explorer,Double Overhead Camshaft,Auto,Pale White,Hatchback,18000
C_CND_008934,2022-11-29,Ryder Truck Rental and Leasing,Middletown,CMP_021,SLK230,Overhead Camshaft,Manual,Red,Hatchback,71001
C_CND_009136,2022-12-03,Rabun Used Car Sales,Scottsdale,CMP_010,528i,Overhead Camshaft,Manual,Red,SUV,29000
C_CND_009221,2022-12-04,Capitol KIA,Greenville,CMP_023,C70,Overhead Camshaft,Manual,Red,Hatchback,82001
C_CND_009371,2022-12-06,Scrivener Performance Engineering,Greenville,CMP_004,RAV4,Overhead Camshaft,Manual,Black,Hatchback,85000
C_CND_009411,2022-12-06,Pars Auto Sales,Greenville,CMP_027,LS400,Overhead Camshaft,Manual,Pale White,Sedan,54001
C_CND_009436,2022-12-07,Saab-Belle Dodge,Aurora,CMP_001,Expedition,Overhead Camshaft,Manual,Pale White,SUV,22000
C_CND_009583,2022-12-10,Buddy Storbeck's Diesel Service Inc,Middletown,CMP_009,Grand Marquis,Double Overhead Camshaft,Auto,Black,SUV,19200
C_CND_009612,2022-12-10,Ryder Truck Rental and Leasing,Scottsdale,CMP_005,TL,Overhead Camshaft,Manual,Pale White,Hatchback,14000
C_CND_009842,2022-12-14,Chrysler Plymouth,Janesville,CMP_024,Bonneville,Double Overhead Camshaft,Auto,Pale White,Hatchback,19000
C_CND_009916,2022-12-15,Race Car Help,Austin,CMP_026,Cutlass,Double Overhead Camshaft,Auto,Pale White,Sedan,46000
C_CND_010595,2022-12-31,U-Haul CO,Austin,CMP_008,Pathfinder,Double Overhead Camshaft,Auto,Red,Hatchback,21000
C_CND_010796,2023-01-11,Progressive Shippers Cooperative Association No,Janesville,CMP_007,Lumina,Overhead Camshaft,Manual,Black,Passenger,42500
C_CND_010888,2023-01-17,Rabun Used Car Sales,Aurora,CMP_010,528i,Overhead Camshaft,Manual,Red,SUV,29000
C_CND_011075,2023-01-30,U-Haul CO,Austin,CMP_027,GS400,Double Overhead Camshaft,Auto,Black,Hatchback,12000
C_CND_011110,2023-01-31,Star Enterprises Inc,Pasco,CMP_014,Passport,Overhead Camshaft,Manual,Black,Hardtop,22001
C_CND_011150,2023-02-02,Pitre Buick-Pontiac-Gmc of Scottsdale,Pasco,CMP_020,SL,Double Overhead Camshaft,Auto,Red,SUV,20001
C_CND_011744,2023-03-08,Ryder Truck Rental and Leasing,Middletown,CMP_026,Bravada,Double Overhead Camshaft,Auto,Black,Hatchback,26000
C_CND_011926,2023-03-13,Nebo Chevrolet,Middletown,CMP_021,C-Class,Overhead Camshaft,Manual,Pale White,Hatchback,12500
C_CND_012179,2023-03-20,Enterprise Rent A Car,Janesville,CMP_008,Frontier,Overhead Camshaft,Manual,Pale White,Hatchback,20001
C_CND_012805,2023-04-15,Ryder Truck Rental and Leasing,Middletown,CMP_030,Cherokee,Double Overhead Camshaft,Auto,Pale White,Sedan,36800
C_CND_013157,2023-04-24,Motor Vehicle Branch Office,Austin,CMP_007,Camaro,Double Overhead Camshaft,Auto,Black,Sedan,41001
C_CND_013440,2023-05-06,Hatfield Volkswagen,Pasco,CMP_001,Focus,Overhead Camshaft,Manual,Red,Hardtop,17001
C_CND_013951,2023-05-23,Motor Vehicle Branch Office,Austin,CMP_024,Sunfire,Overhead Camshaft,Manual,Pale White,Sedan,28001
C_CND_014014,2023-05-26,Star Enterprises Inc,Pasco,CMP_018,Passat,Double Overhead Camshaft,Auto,Red,Hatchback,13001
C_CND_014317,2023-05-30,Chrysler of Tri-Cities,Austin,CMP_002,Durango,Double Overhead Camshaft,Auto,Red,SUV,22001
C_CND_014745,2023-06-12,McKinney Dodge Chrysler Jeep,Scottsdale,CMP_029,3-Sep,Double Overhead Camshaft,Auto,Black,Sedan,23001
C_CND_014830,2023-06-14,Suburban Ford,Janesville,CMP_018,Beetle,Double Overhead Camshaft,Auto,Pale White,Hardtop,45000
C_CND_014917,2023-06-17,Rabun Used Car Sales,Scottsdale,CMP_010,528i,Double Overhead Camshaft,Auto,Pale White,SUV,62000
C_CND_014929,2023-06-17,Capitol KIA,Greenville,CMP_002,Durango,Double Overhead Camshaft,Auto,Black,SUV,24000
C_CND_015158,2023-06-23,Suburban Ford,Janesville,CMP_007,Prizm,Overhead Camshaft,Manual,Pale White,Hardtop,21000
C_CND_015389,2023-06-30,New Castle Ford Lincoln Mercury,Scottsdale,CMP_003,Catera,Double Overhead Camshaft,Auto,Pale White,Hatchback,75000
C_CND_015439,2023-07-02,Star Enterprises Inc,Pasco,CMP_001,Focus,Overhead Camshaft,Manual,Pale White,Hardtop,24000
C_CND_015543,2023-07-07,Tri-State Mack Inc,Scottsdale,CMP_019,Regal,Double Overhead Camshaft,Auto,Pale White,Passenger,38000
C_CND_015739,2023-07-14,Tri-State Mack Inc,Scottsdale,CMP_027,LS400,Double Overhead Camshaft,Auto,Pale White,Sedan,27000
C_CND_015747,2023-07-14,Star Enterprises Inc,Pasco,CMP_023,C70,Overhead Camshaft,Manual,Pale White,Hatchback,24000
C_CND_016159,2023-07-23,Chrysler Plymouth,Janesville,CMP_011,Concorde,Double Overhead Camshaft,Auto,Black,SUV,12500
C_CND_016327,2023-07-28,U-Haul CO,Austin,CMP_028,Breeze,Double Overhead Camshaft,Auto,Pale White,SUV,22001
C_CND_016400,2023-07-31,Rabun Used Car Sales,Scottsdale,CMP_006,Eclipse,Double Overhead Camshaft,Auto,Black,SUV,27000
C_CND_016505,2023-08-05,Pars Auto Sales,Pasco,CMP_001,Taurus,Overhead Camshaft,Manual,Black,SUV,69001
C_CND_016689,2023-08-13,Rabun Used Car Sales,Scottsdale,CMP_023,S80,Overhead Camshaft,Manual,Red,Sedan,25000
C_CND_016709,2023-08-14,Classic Chevy,Scottsdale,CMP_001,F-Series,Overhead Camshaft,Manual,Pale White,Passenger,14000
C_CND_016918,2023-08-22,Tri-State Mack Inc,Scottsdale,CMP_014,Accord,Overhead Camshaft,Manual,Black,Sedan,43001
C_CND_016966,2023-08-23,Nebo Chevrolet,Middletown,CMP_003,Eldorado,Overhead Camshaft,Manual,Black,Passenger,29001
C_CND_017263,2023-08-29,Chrysler Plymouth,Janesville,CMP_006,Montero Sport,Overhead Camshaft,Manual,Pale White,SUV,12000
